Issuer Name,Ticker,Series,Cpn,Maturity,Maturity Type,90D Volatility,Yld to Mty (Mid),Rev Growth,Amount Issued,Amt Out,CDS Recovery Rate,CDS Spread (5yr Mid),Earnings Assets / Interest Bearing Liabililties,S&P Init Rtg Dt,S&P Init Rtg,S&P Outlook,S&P Rating
Bank of America Corp,BAC,L,2.65,4/1/2019,AT MATURITY,1.93915391,2.639405422,7.04874976,2500000000,2500000000,0.400000006,47.6919,131.712137,3/27/2014,A-,STABLE,A-
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,6.3,4/23/2019,AT MATURITY,0.744761884,2.652664793,7.975465939,3000000000,3000000000,0.4,40.0821,134.8625608,4/24/2009,A+,STABLE,A-
Goldman Sachs Group Inc/The,GS,GMTN,7.5,2/15/2019,AT MATURITY,0.729771614,2.476332031,12.04391175,3000000000,3000000000,0.4,54.6932,94.06989897,2/10/2009,A,STABLE,BBB+
Citigroup Inc,C,#N/A Field Not Applicable,2.5,7/29/2019,AT MATURITY,0.747299671,2.820917938,6.772995412,2000000000,1555010000,0.4,49.6902,108.7645895,7/25/2014,A-,STABLE,BBB+
Morgan Stanley,MS,GMTN,2.375,7/23/2019,AT MATURITY,0.838154197,2.748675564,15.00171283,2500000000,2500000000,0.4,52.6796,114.2785657,7/17/2014,A-,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,2.55,10/23/2019,AT MATURITY,0.799286366,2.917162305,12.04391175,2500000000,2500000000,0.4,54.6932,94.06989897,10/22/2014,A-,STABLE,BBB+
Deutsche Bank AG,DB,GMTN,2.85,5/10/2019,AT MATURITY,1.591962934,3.078966836,-4.903529627,1600000000,1600000000,0.4,135.4871,121.3998692,5/11/2016,BBB+,STABLE,BBB-
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,2.625,1/31/2019,AT MATURITY,0.823764145,2.542071161,12.04391175,2500000000,2500000000,0.4,54.6932,94.06989897,1/30/2014,A-,STABLE,BBB+
Citigroup Inc,C,#N/A Field Not Applicable,2.05,12/7/2018,AT MATURITY,0.90303731,2.306012117,6.772995412,1650000000,1650000000,0.4,49.6902,108.7645895,12/10/2015,BBB+,STABLE,BBB+
Morgan Stanley,MS,GMTN,7.3,5/13/2019,AT MATURITY,0.673236728,2.828113647,15.00171283,3000000000,2730500000,0.4,52.6796,114.2785657,6/1/2009,A,STABLE,BBB+
Bank of America Corp,BAC,L,2.6,1/15/2019,AT MATURITY,10.17175961,2.616833631,7.04874976,3750000000,2240720000,0.400000006,47.6919,131.712137,10/18/2013,A-,STABLE,A-
Toronto-Dominion Bank/The,TD,BKNT,2.125,7/2/2019,AT MATURITY,0.693908751,2.593042768,10.21195546,1400000000,1400000000,0.4,#N/A N/A,529.8579664,6/26/2014,AA-,STABLE,AA-
Wells Fargo Bank NA,WFC,#N/A Field Not Applicable,1.75,5/24/2019,AT MATURITY,0.804454744,2.562190468,3.785465511,2500000000,2500000000,0.4,47.0664,136.2449198,6/3/2016,AA-,STABLE,A+
Macquarie Group Ltd,MQGAU,REGS,6,1/14/2020,AT MATURITY,0.631601036,3.467737586,-11.87771701,1000000000,1000000000,0.4,#N/A N/A,95.89282895,1/12/2010,A-,STABLE,BBB
Citigroup Inc,C,#N/A Field Not Applicable,2.05,6/7/2019,AT MATURITY,1.032194734,2.755008332,6.772995412,1000000000,1000000000,0.4,49.6902,108.7645895,6/9/2016,BBB+,STABLE,BBB+
Morgan Stanley,MS,MTN,5.625,9/23/2019,AT MATURITY,0.659746647,3.014016484,15.00171283,3000000000,2953200000,0.4,52.6796,114.2785657,2/9/2010,A,STABLE,BBB+
Deutsche Bank AG,DB,EMTn,0.229,4/15/2019,AT MATURITY,0.542675912,0.315679899,-4.903529627,3800280000,3397173936,0.4,135.4871,121.3998692,4/9/2014,A,STABLE,BBB-
Citigroup Inc,C,#N/A Field Not Applicable,2.55,4/8/2019,AT MATURITY,0.784396291,2.620256244,6.772995412,2000000000,1701840000,0.4,49.6902,108.7645895,4/3/2014,A-,STABLE,BBB+
Morgan Stanley,MS,#N/A Field Not Applicable,2.65,1/27/2020,AT MATURITY,0.909932911,3.041875045,15.00171283,2500000000,2500000000,0.4,52.6796,114.2785657,1/22/2015,A-,STABLE,BBB+
Deutsche Bank AG,DB,EMTN,1,3/18/2019,AT MATURITY,0.515047252,0.187147826,-4.903529627,2085856500,2085856500,0.4,135.4871,121.3998692,1/23/2017,BBB+ *,STABLE,BBB-
Toronto-Dominion Bank/The,TD,#N/A Field Not Applicable,1.45,8/13/2019,AT MATURITY,0.669140339,2.824460344,10.21195546,1000000000,1000000000,0.4,#N/A N/A,529.8579664,7/8/2016,AA-,STABLE,AA-
Toronto-Dominion Bank/The,TD,MTN,2.25,11/5/2019,AT MATURITY,0.915885091,2.852155494,10.21195546,1250000000,1250000000,0.4,#N/A N/A,529.8579664,10/31/2014,AA-,STABLE,AA-
Wells Fargo & Co,WFC,#N/A Field Not Applicable,2.125,4/22/2019,AT MATURITY,0.721565366,2.598460074,3.785465511,1750000000,1750000000,0.4,47.0664,136.2449198,4/16/2014,A+,STABLE,A-
